Component,Pin/Signal,Board Label,GPIO,Notes
DHT11,Data,D4,GPIO4,Single-wire digital data line
DHT11,VCC,3V3,3V3,
DHT11,GND,GND,GND,
LD2420 mmWave,Sensor RX <- ESP32 TX,RX,GPIO17,Optional - only needed to send config/commands to sensor
LD2420 mmWave,OT1 (presence output 1),OT1,GPIO16,Digital input on ESP32 - reads sensor's presence trigger
LD2420 mmWave,OT2 (presence output 2),OT2,GPIO18,Digital input on ESP32 - second trigger/zone output
LD2420 mmWave,VCC,3V3,3V3,
LD2420 mmWave,GND,GND,GND,
KY-037 Sound Sensor,AO (analog out),D34,GPIO34,Analog-only input pin (ADC1) - good fit for AO
KY-037 Sound Sensor,DO (digital out),D35,GPIO35,Optional - threshold-based trigger output
KY-037 Sound Sensor,VCC,3V3,3V3,Check module - some variants want 5V
KY-037 Sound Sensor,GND,GND,GND,
ESP32,Power in,USB C,N/A,5V via USB-C cable - powers entire board
